All hps: 2023-07-11 23:21:39 model=pt_resnet dataset=mnist attack=square_l2 n_ex=100 eps=0.05 p=0.05 n_iter=10000
Clean accuracy: 9.00%
Initial square side=5 for bumps
1: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.409, max_pert=0.0, impr=3
500: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.005, max_pert=0.0, impr=1
501: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.004, max_pert=0.0, impr=1
502: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.004, max_pert=0.0, impr=0
503: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.1, impr=1
504: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
505: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
506: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
507: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
508: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
509: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=1
510: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
511: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=1
512: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
513: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
514: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.003, max_pert=0.0, impr=0
515: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=1
516: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=1
517: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=0
518: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=1
519: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=1
520: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=1
521: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=0
522: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=0
523: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=0
524: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=1
525: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=0
526: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=0
527: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=0
528: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=1
529: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.0, impr=1
530: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=1
531: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.002, max_pert=0.1, impr=0
532: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.001, max_pert=0.1, impr=1
533: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.001, max_pert=0.0, impr=0
534: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.001, max_pert=0.0, impr=1
535: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.001, max_pert=0.0, impr=1
536: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.001, max_pert=0.0, impr=0
537: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.001, max_pert=0.1, impr=1
538: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.000, max_pert=0.0, impr=1
539: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.000, max_pert=0.1, impr=2
540: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.000, max_pert=0.0, impr=1
541: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.000, max_pert=0.0, impr=1
542: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.000, max_pert=0.1, impr=1
543: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.000, max_pert=0.0, impr=1
544: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=2.000, max_pert=0.0, impr=0
545: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=1
546: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.1, impr=0
547: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=0
548: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.1, impr=1
549: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.1, impr=0
550: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=0
551: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=0
552: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.1, impr=0
553: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.1, impr=1
554: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=0
555: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.1, impr=2
556: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=0
557: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=0
558: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.0, impr=1
559: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.999, max_pert=0.1, impr=0
560: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.998, max_pert=0.1, impr=2
561: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.998, max_pert=0.0, impr=3
562: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.998, max_pert=0.0, impr=0
563: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=1
564: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=0
565: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=0
566: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.1, impr=0
567: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=1
568: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.1, impr=1
569: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=0
570: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.1, impr=2
571: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.1, impr=0
572: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=0
573: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=0
574: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.997, max_pert=0.0, impr=1
575: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.996, max_pert=0.1, impr=1
576: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.996, max_pert=0.1, impr=0
577: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.996, max_pert=0.1, impr=0
578: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.996, max_pert=0.1, impr=1
579: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=2
580: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.0, impr=2
581: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.0, impr=0
582: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.0, impr=0
583: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=0
584: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=0
585: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.0, impr=0
586: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.0, impr=1
587: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=0
588: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=0
589: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.0, impr=0
590: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=1
591: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=0
592: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.993, max_pert=0.1, impr=1
593: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.992, max_pert=0.0, impr=1
594: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.992, max_pert=0.0, impr=0
595: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.992, max_pert=0.0, impr=0
596: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.992, max_pert=0.0, impr=1
597: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.992, max_pert=0.1, impr=2
598: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.992, max_pert=0.0, impr=0
599: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.992, max_pert=0.1, impr=2
600: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.990, max_pert=0.0, impr=1
601: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.0, impr=2
602: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.1, impr=1
603: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.0, impr=1
604: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.1, impr=0
605: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.0, impr=1
606: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.0, impr=0
607: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.1, impr=1
608: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.0, impr=0
609: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.1, impr=0
610: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.0, impr=0
611: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.0, impr=0
612: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 3s, loss=1.989, max_pert=0.1, impr=1
613: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.989, max_pert=0.1, impr=1
614: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.989, max_pert=0.0, impr=0
615: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.989, max_pert=0.0, impr=0
616: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.989, max_pert=0.0, impr=0
617: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.989, max_pert=0.0, impr=0
618: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.1, impr=2
619: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.1, impr=2
620: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.1, impr=0
621: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.1, impr=0
622: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.0, impr=1
623: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.1, impr=0
624: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.1, impr=1
625: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.1, impr=1
626: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.988, max_pert=0.0, impr=1
627: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.0, impr=1
628: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.0, impr=0
629: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.0, impr=0
630: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.1, impr=0
631: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.1, impr=2
632: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.0, impr=0
633: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.1, impr=0
634: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.1, impr=0
635: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.987, max_pert=0.1, impr=0
636: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.986, max_pert=0.1, impr=2
637: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.986, max_pert=0.1, impr=1
638: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.986, max_pert=0.0, impr=0
639: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.1, impr=1
640: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.1, impr=1
641: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.1, impr=0
642: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.1, impr=0
643: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.1, impr=1
644: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.0, impr=1
645: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.1, impr=2
646: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.1, impr=0
647: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.985, max_pert=0.0, impr=1
648: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.984, max_pert=0.1, impr=2
649: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.984, max_pert=0.1, impr=1
650: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.984, max_pert=0.0, impr=1
651: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=2
652: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=1
653: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=2
654: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=2
655: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=0
656: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=0
657: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.0, impr=1
658: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=0
659: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.0, impr=2
660: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.983, max_pert=0.1, impr=0
661: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.1, impr=2
662: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.1, impr=0
663: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.1, impr=0
664: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.0, impr=2
665: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.0, impr=0
666: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.1, impr=1
667: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.1, impr=1
668: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.982, max_pert=0.1, impr=0
669: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.981, max_pert=0.0, impr=1
670: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.981, max_pert=0.0, impr=0
671: acc=6.00% acc_corr=66.67% avg#q_ae=43.0 med#q_ae=34.0 s=6->3, n_ex=9, 4s, loss=1.981, max_pert=0.0, impr=0
